Reference Code,Solution Name (Eng),Cosine Similarity
S-0009,Precise And Responsive Indoor Location Tracking,0.77384895
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.76298
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.7603257
S-0044,AI Escalator Safety Monitoring System,0.7453525
S-0097,Smart Home e-Health Monitoring and Care System,0.71806484
S-0299,Office Delivery Robot,0.7104011
S-0036,Intelligent Traffic Monitoring,0.70836306
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.7038564
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.7025507
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.7006073
S-0174,VR Training & Education System,0.7003334
S-0153,Dynatrace,0.69955677
S-0021,ReportNOW,0.69702625
S-0138,Radware DefensePro and AppWall,0.69309264
S-0228,eClass Corporate Learning Management System (LMS),0.6930708
S-0011,Precise Outdoor Crowd Analysis,0.69138575
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.6887601
S-0010,Precise Facility Crowd Analysis,0.6882625
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.6881352
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.68795633
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.6878022
S-0234,Pixel Eye Vision-Based Fall Detection,0.6825732
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.679722
S-0050,Deloitte ASSIST,0.67630184
S-0194,UWB Beacon RTLS Solution,0.6743808
S-0254,FormExtractor,0.6732215
S-0245,Locobike：Automatic Bicycle Rental System,0.67199486
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.66918033
S-0031,PowerArena - Smart City Operations Platform,0.6640677
S-0261,DragOnce Platform,0.660475
S-0190,Una Interactive Training Platform,0.658167
S-0166,IXIA BREAKINGPOINT,0.6567725
S-0241,Intelligent Data Platform,0.65636075
S-0092,Enable the wireless connectivity for IoT devices,0.65566754
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.6502969
S-0219,"VR Virtual Store, Training & Education System",0.65024614
S-0075,Altai SuperWiFi Solution,0.64981407
S-0043,fieldConnect,0.6493336
S-0035,Document Delivery By Unmanned Vehicle,0.6485479
S-0027,Big Data Enabler Service (project based),0.64761853
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.64530337
S-0142,NetMotion Mobility,0.6450638
S-0208,Indoor Map and Positioning for Smart City,0.6438644
S-0085,SAP Geospatial Asset Management,0.6430875
S-0267,Smart Fever Screening System,0.6429875
S-0296,BLOK Pass App for Travel Bubble,0.64285666
S-0140,Drivelock,0.64075255
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.6405497
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.6387866
S-0130,OpenLegacy API factory,0.63843405
S-0015,3D Face Re-identification,0.6382534
S-0105,Blockchain solution,0.6362618
S-0003,GeoSpatial Cloud,0.63598806
S-0022,A smart lamp pole system with AI-enabled security system,0.6348298
S-0046,SAP Digital Boardroom,0.63456565
S-0263,SafeGuard Series,0.6343719
