Reference Code,Solution Name (Eng),Cosine Similarity
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.5448507
S-0060,FROM Network Audit Programs,0.54162216
S-0065,Smart Mobility,0.5407138
S-0271,Server Data Analysis Service (User & Data),0.5405702
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.540448
S-0072,Digital Twin of the City (or Town),0.54042095
S-0217,nCloud Fault-Tolerant Geo-distributed Hyperconverged Infrastructure (HCI),0.53989536
S-0084,NFC Product Authentication,0.5395563
S-0003,GeoSpatial Cloud,0.5394429
S-0158,Switchable Glass / Film,0.53939986
S-0044,AI Escalator Safety Monitoring System,0.53933406
S-0100,Super Massive 3D Model Data Expert,0.53920394
S-0049,Blockchain Solution,0.5391708
S-0164,Relate App,0.5390518
S-0063,UHD Multi-Channel Video Live Broadcast,0.5388981
S-0022,A smart lamp pole system with AI-enabled security system,0.5387553
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.5387504
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,0.53866166
S-0178,Motor Insurance DLT Authentication System - MIDAS,0.53863156
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.53854954
S-0089,Smart Infrastructure Projects Planning and Execution,0.53852147
S-0031,PowerArena - Smart City Operations Platform,0.53825694
S-0119,Ziizau - Optimization of route design,0.5382076
S-0241,Intelligent Data Platform,0.5381655
S-0197,WCL Robotic Process Automation Solution,0.53811693
S-0058,IoT Cybersecurity Testing and Certification Program,0.5380949
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.53804785
S-0227,Intelligent liquid crystal dimming film,0.538023
S-0255,Authgear,0.5379612
S-0011,Precise Outdoor Crowd Analysis,0.53790057
S-0043,fieldConnect,0.5378809
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.5378796
S-0045,SAP Big Data Solution,0.53781796
S-0036,Intelligent Traffic Monitoring,0.53780186
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.53779376
S-0247,Seclore Digital Rights Management,0.5377784
S-0162,Automate the verification of electronic documents,0.5377563
S-0230,STEMHUB Education Platform,0.53775024
S-0013,Public Event Tracking and Early Warning Analysis System,0.537725
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.5377063
S-0161,LiDAR and Optical Sensing applications for Smart City,0.53770524
S-0225,DocAnalyzer - Document Review Solution,0.53761595
S-0171,Augmented Reality (AR) model,0.53757143
S-0113,Video Analytics Solution,0.53746974
S-0223,OceanX Share,0.5373456
S-0135,ISS Analytics Services,0.5373454
S-0082,A.I. Contact Center and User Engagement Solution,0.5372856
S-0199,V-Key Mobile App Protection,0.53727204
S-0035,Document Delivery By Unmanned Vehicle,0.53727
S-0020,Machines Predictive Maintenance,0.5372678
S-0142,NetMotion Mobility,0.5372448
S-0051,Insight Driven Organization (IDO),0.5371931
S-0137,Splunk,0.53718257
S-0030,IoT Building Access Control System,0.53714985
S-0169,Robotic Assistant,0.5371086
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.53709495
S-0064,Smart Education(Class VR),0.5370554
S-0052,OpenCloud CMP,0.53698087
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.53696054
S-0105,Blockchain solution,0.53691274
S-0263,SafeGuard Series,0.5368091
S-0069,Citizen Cloud,0.53680253
S-0131,ISS Project Management System,0.53676534
S-0136,Document Authentication,0.5367152
